央视,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/*/224/3221228581/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/*/224/3221228844/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/*/224/3221228499/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/*/224/3221228091/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/*/224/3221228502/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/*/224/3221228492/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/*/224/3221228516/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/*/224/3221228643/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/*/224/3221228578/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/*/224/3221228758/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/*/224/3221228761/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/*/224/3221228585/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/*/224/3221228657/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/*/224/3221228660/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/*/224/3221228636/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/*/224/3221228639/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/*/224/3221228168/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/*/224/3221228642/index.m3u8
CCTV4K,http://ott.mobaibox.com/PLTV/*/224/3221228472/index.m3u8
CCTV8K,http://ott.mobaibox.com/PLTV/*/224/3221228165/index.m3u8
CCTV-第一剧场,http://ott.mobaibox.com/PLTV/*/224/3221228659/index.m3u8
CCTV-世界地理,http://ott.mobaibox.com/PLTV/*/224/3221228680/index.m3u8
CCTV-女性时尚,http://ott.mobaibox.com/PLTV/*/224/3221228674/index.m3u8
CCTV-怀旧剧场,http://ott.mobaibox.com/PLTV/*/224/3221228671/index.m3u8
CCTV-风云剧场,http://ott.mobaibox.com/PLTV/*/224/3221228662/index.m3u8
CCTV-兵器科技,http://ott.mobaibox.com/PLTV/*/224/3221228689/index.m3u8
CCTV-天元围棋,http://ott.mobaibox.com/PLTV/*/224/3221228513/index.m3u8
CCTV-电视指南,http://ott.mobaibox.com/PLTV/4/224/3221228689/index.m3u8
CCTV-央视文化精品,http://ott.mobaibox.com/PLTV/4/224/3221228677/index.m3u8
CCTV-风云音乐,http://ott.mobaibox.com/PLTV/*/224/3221228665/index.m3u8
CCTV-风云足球,http://ott.mobaibox.com/PLTV/4/224/3221228668/index.m3u8
CCTV-高尔夫网球,http://ott.mobaibox.com/PLTV/*/224/3221228138/index.m3u8
CCTV-台球,http://ott.mobaibox.com/PLTV/*/224/3221228683/index.m3u8

卫视,#genre#
湖南卫视,http://ott.mobaibox.com/PLTV/*/224/3221227735/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/*/224/3221228861/index.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/*/224/3221228591/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/*/224/3221228150/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/*/224/3221228890/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/*/224/3221227697/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/*/224/3221228835/index.m3u8
四川卫视,http://ott.mobaibox.com/PLTV/*/224/3221228648/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/*/224/3221228838/index.m3u8
湖北卫视,http://ott.mobaibox.com/PLTV/*/224/3221227665/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/*/224/3221228645/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/*/224/3221228239/index.m3u8
重庆卫视,http://ott.mobaibox.com/PLTV/*/224/3221228651/index.m3u8
河北卫视,http://ott.mobaibox.com/PLTV/*/224/3221228752/index.m3u8
辽宁卫视,http://ott.mobaibox.com/PLTV/*/224/3221227700/index.m3u8
吉林卫视,http://ott.mobaibox.com/PLTV/*/224/3221228130/index.m3u8
黑龙江卫视,http://ott.mobaibox.com/PLTV/*/224/3221228233/index.m3u8
江西卫视,http://ott.mobaibox.com/PLTV/*/224/3221228749/index.m3u8
广西卫视,http://ott.mobaibox.com/PLTV/*/224/3221228183/index.m3u8
贵州卫视,http://ott.mobaibox.com/PLTV/*/224/3221228634/index.m3u8
云南卫视,http://ott.mobaibox.com/PLTV/*/224/3221228169/index.m3u8
山西卫视,http://ott.mobaibox.com/PLTV/*/224/3221228870/index.m3u8
河南卫视,http://ott.mobaibox.com/PLTV/*/224/3221228221/index.m3u8
东南卫视,http://ott.mobaibox.com/PLTV/*/224/3221227670/index.m3u8
甘肃卫视,http://ott.mobaibox.com/PLTV/*/224/3221228166/index.m3u8
青海卫视,http://ott.mobaibox.com/PLTV/*/224/3221227554/index.m3u8
新疆卫视,http://ott.mobaibox.com/PLTV/*/224/3221228290/index.m3u8
西藏卫视,http://ott.mobaibox.com/PLTV/*/224/3221226376/index.m3u8
海南卫视,http://ott.mobaibox.com/PLTV/*/224/3221228139/index.m3u8
兵团卫视,http://ott.mobaibox.com/PLTV/*/224/3221227025/index.m3u8
三沙卫视,http://ott.mobaibox.com/PLTV/*/224/3221228626/index.m3u8
凤凰香港,http://ott.mobaibox.com/PLTV/*/224/3221228530/index.m3u8
凤凰中文,http://ott.mobaibox.com/PLTV/*/224/3221228527/index.m3u8
凤凰资讯,http://ott.mobaibox.com/PLTV/*/224/3221228524/index.m3u8
内蒙古卫视（720p）,http://ott.mobaibox.com/PLTV/*/224/3221227557/index.m3u8
宁夏卫视(失效),http://ott.mobaibox.com/PLTV/*/224/3221225632/index.m3u8
陕西卫视（失效）,http://ott.mobaibox.com/PLTV/*/224/3221225625/index.m3u8

NEWTV,#genre#
精品体育,http://ott.mobaibox.com/PLTV/*/224/3221227615/index.m3u8
精品剧场,http://ott.mobaibox.com/PLTV/*/224/3221227618/index.m3u8
潮妈辣婆,http://ott.mobaibox.com/PLTV/*/224/3221227527/index.m3u8
军事评论,http://ott.mobaibox.com/PLTV/*/224/3221227544/index.m3u8
惊悚悬疑,http://ott.mobaibox.com/PLTV/*/224/3221227536/index.m3u8
动作电影,http://ott.mobaibox.com/PLTV/*/224/3221227606/index.m3u8
精品萌宠,http://ott.mobaibox.com/PLTV/*/224/3221228430/index.m3u8
怡伴健康,http://ott.mobaibox.com/PLTV/*/224/3221227612/index.m3u8
农业致富,http://ott.mobaibox.com/PLTV/*/224/3221227588/index.m3u8
金牌综艺,http://ott.mobaibox.com/PLTV/*/224/3221227541/index.m3u8
炫舞未来,http://ott.mobaibox.com/PLTV/*/224/3221227475/index.m3u8
家庭剧场,http://ott.mobaibox.com/PLTV/*/224/3221227600/index.m3u8
明星大片,http://ott.mobaibox.com/PLTV/*/224/3221227594/index.m3u8
爱情喜剧,http://ott.mobaibox.com/PLTV/*/224/3221227548/index.m3u8
中国功夫,http://ott.mobaibox.com/PLTV/*/224/3221227530/index.m3u8

睛彩,#genre#
睛彩竞技,http://ott.mobaibox.com/PLTV/*/224/3221228679/index.m3u8
